negative bigrams,associated rating
now down,3
no mean,5
not bad,5
nothing Less,2
not broken,5
technology difficult,5
no complaint,5
not serious,1
annoying worst,2
not tough,3
no complaint,5
not flat,3
noticeable black,4
no complaint,5
not disappointed,5
another few,5
not bad,4
another few,5
no complaint,5
Another annoying,4
no excuse,4
now hard,5
minor complaint,5
nothing bad,5
not bad,5
nothing negative,5
not careful,5
not missing,5
nothing bad,5
no complaint,5
no other,5
no trouble,5
nothing bad,5
not usually,5
not bad,3
not complicated,5
another waste,5
notch mess,4
not hard,5
no complaint,5
not complicated,5
know expensive,5
not broken,5
not slow,5
not due,5
not impossible,4
not waste,5
no complaint,5
not small,5
no complaint,5
now due,5
no trouble,5
not disappointed,5
Another slick,5
nothing bad,5
not failed,5
no complaint,5
not half,3
not disappointed,5
not complicated,5
knocking other,5
no complaint,5
nothing negative,5
not long,3
not disappointed,5
not long,5
not disappointed,5
not long,5
no complaint,4
nothing negative,5
not long,5
nothing bad,5
minor other,4
not disappointed,5
not disappointed,5
nothing wrong,5
Another annoying,2
no trouble,5
no complaint,5
not failed,5
not long,5
no bad,5
no complaint,5
not disappointed,5
now slow,3
not disappointed,5
not long,4
nothing wrong,5
no Slick,5
not bad,3
not least,5
not long,3
know wrong,4
minor little,4
no complaint,5
not failed,5
not failed,5
know half,5
not black,3
no complaint,5
not disappointed,5
no complaint,5
not waste,5
not slow,5
not long,5
not bad,4
not disappointed,5
not missing,5
notification mean,4
no annoying,5
no complaint,5
noticed seriously,4
notoriously bad,5
notification Unbelievable,4
no other,4
no trouble,5
not disappointed,5
no other,5
not mad,3
no complaint,5
no annoying,4
no complaint,5
no mean,4
now disappointed,3
not bad,5
not long,5
notification Sadly,4
notification missing,4
normal Slow,4
not long,5
not long,5
no complaint,5
not rough,1
now weird,5
nothing wrong,5
no complaint,5
not mean,2
now missing,3
no complaint,5
no average,3
not least,2
not broken,5
no other,2
nothing wrong,1
nothing wrong,5
no trouble,5
now due,4
nothing wrong,3
no complaint,5
nose down,5
nothing bad,5
no bad,5
no complaint,5
no complaint,5
